
ctarget:     file format elf64-x86-64


Disassembly of section .init:

0000000000401000 <_init>:
  401000:	f3 0f 1e fa          	endbr64 
  4016cb:	85 c0                	test   %eax,%eax
  4016cd:	75 26                	jne    4016f5 <initialize_target+0x121>
  4016cf:	89 c3                	mov    %eax,%ebx
  4016d1:	48 63 c3             	movslq %ebx,%rax
  4016d4:	48 8d 15 85 5a 00 00 	lea    0x5a85(%rip),%rdx        # 407160 <host_table>
  4016db:	48 8b 3c c2          	mov    (%rdx,%rax,8),%rdi
  4016df:	48 85 ff             	test   %rdi,%rdi
  4016e2:	74 2c                	je     401710 <initialize_target+0x13c>
  4016e4:	48 89 e6             	mov    %rsp,%rsi
  4016e7:	e8 54 fb ff ff       	callq  401240 <strcasecmp@plt>
  4016ec:	85 c0                	test   %eax,%eax
  4016ee:	74 1b                	je     40170b <initialize_target+0x137>
  4016f0:	83 c3 01             	add    $0x1,%ebx
  4016f3:	eb dc                	jmp    4016d1 <initialize_target+0xfd>
  4016f5:	48 8d 3d ec 29 00 00 	lea    0x29ec(%rip),%rdi        # 4040e8 <_IO_stdin_used+0xe8>
  4016fc:	e8 8f fb ff ff       	callq  401290 <puts@plt>
  401701:	bf 08 00 00 00       	mov    $0x8,%edi
  401706:	e8 e5 fc ff ff       	callq  4013f0 <exit@plt>
  40170b:	bd 01 00 00 00       	mov    $0x1,%ebp
  401710:	85 ed                	test   %ebp,%ebp
  401712:	74 3d                	je     401751 <initialize_target+0x17d>
  401714:	48 8d bc 24 00 01 00 	lea    0x100(%rsp),%rdi
  40171b:	00 
  40171c:	e8 6b 1b 00 00       	callq  40328c <init_driver>
  401721:	85 c0                	test   %eax,%eax
  401723:	0f 89 59 ff ff ff    	jns    401682 <initialize_target+0xae>
  401729:	48 8d 94 24 00 01 00 	lea    0x100(%rsp),%rdx
  401730:	00 
  401731:	48 8d 35 28 2a 00 00 	lea    0x2a28(%rip),%rsi        # 404160 <_IO_stdin_used+0x160>
  401738:	bf 01 00 00 00       	mov    $0x1,%edi
  40173d:	b8 00 00 00 00       	mov    $0x0,%eax
  401742:	e8 59 fc ff ff       	callq  4013a0 <__printf_chk@plt>
  401747:	bf 08 00 00 00       	mov    $0x8,%edi
  40174c:	e8 9f fc ff ff       	callq  4013f0 <exit@plt>
  401751:	48 89 e2             	mov    %rsp,%rdx
  401754:	48 8d 35 c5 29 00 00 	lea    0x29c5(%rip),%rsi        # 404120 <_IO_stdin_used+0x120>
  40175b:	bf 01 00 00 00       	mov    $0x1,%edi
  401760:	b8 00 00 00 00       	mov    $0x0,%eax
  401765:	e8 36 fc ff ff       	callq  4013a0 <__printf_chk@plt>
  40176a:	bf 08 00 00 00       	mov    $0x8,%edi
  40176f:	e8 7c fc ff ff       	callq  4013f0 <exit@plt>
  401774:	e8 37 fb ff ff       	callq  4012b0 <__stack_chk_fail@plt>

0000000000401779 <main>:
  401779:	41 56                	push   %r14
  40177b:	41 55                	push   %r13
  40177d:	41 54                	push   %r12
  40177f:	55                   	push   %rbp
  401780:	53                   	push   %rbx
  401781:	89 fd                	mov    %edi,%ebp
  401783:	48 89 f3             	mov    %rsi,%rbx
  401786:	48 c7 c6 4f 25 40 00 	mov    $0x40254f,%rsi
  40178d:	bf 0b 00 00 00       	mov    $0xb,%edi
  401792:	e8 79 fb ff ff       	callq  401310 <signal@plt>
  401797:	48 c7 c6 f9 24 40 00 	mov    $0x4024f9,%rsi
  40179e:	bf 07 00 00 00       	mov    $0x7,%edi
  4017a3:	e8 68 fb ff ff       	callq  401310 <signal@plt>
  4017a8:	48 c7 c6 a5 25 40 00 	mov    $0x4025a5,%rsi
  4017af:	bf 04 00 00 00       	mov    $0x4,%edi
  4017b4:	e8 57 fb ff ff       	callq  401310 <signal@plt>
  4017b9:	83 3d 48 5d 00 00 00 	cmpl   $0x0,0x5d48(%rip)        # 407508 <is_checker>
  4017c0:	75 26                	jne    4017e8 <main+0x6f>
  4017c2:	4c 8d 25 64 2a 00 00 	lea    0x2a64(%rip),%r12        # 40422d <_IO_stdin_used+0x22d>
  4017c9:	48 8b 05 d0 5c 00 00 	mov    0x5cd0(%rip),%rax        # 4074a0 <stdin@@GLIBC_2.2.5>
  4017d0:	48 89 05 19 5d 00 00 	mov    %rax,0x5d19(%rip)        # 4074f0 <infile>
  4017d7:	41 bd 00 00 00 00    	mov    $0x0,%r13d
  4017dd:	41 be 00 00 00 00    	mov    $0x0,%r14d
  4017e3:	e9 8d 00 00 00       	jmpq   401875 <main+0xfc>
  4017e8:	48 c7 c6 fb 25 40 00 	mov    $0x4025fb,%rsi
  4017ef:	bf 0e 00 00 00       	mov    $0xe,%edi
  4017f4:	e8 17 fb ff ff       	callq  401310 <signal@plt>
  4017f9:	bf 05 00 00 00       	mov    $0x5,%edi
  4017fe:	e8 dd fa ff ff       	callq  4012e0 <alarm@plt>
  401803:	4c 8d 25 1b 2a 00 00 	lea    0x2a1b(%rip),%r12        # 404225 <_IO_stdin_used+0x225>
  40180a:	eb bd                	jmp    4017c9 <main+0x50>
  40180c:	48 8b 3b             	mov    (%rbx),%rdi
  40180f:	e8 22 fd ff ff       	callq  401536 <usage>
  401814:	48 8d 35 db 2a 00 00 	lea    0x2adb(%rip),%rsi        # 4042f6 <_IO_stdin_used+0x2f6>
  40181b:	48 8b 3d 86 5c 00 00 	mov    0x5c86(%rip),%rdi        # 4074a8 <optarg@@GLIBC_2.2.5>
  401822:	e8 89 fb ff ff       	callq  4013b0 <fopen@plt>
  401827:	48 89 05 c2 5c 00 00 	mov    %rax,0x5cc2(%rip)        # 4074f0 <infile>
  40182e:	48 85 c0             	test   %rax,%rax
  401831:	75 42                	jne    401875 <main+0xfc>
  401833:	48 8b 0d 6e 5c 00 00 	mov    0x5c6e(%rip),%rcx        # 4074a8 <optarg@@GLIBC_2.2.5>
  40183a:	48 8d 15 f1 29 00 00 	lea    0x29f1(%rip),%rdx        # 404232 <_IO_stdin_used+0x232>
  401841:	be 01 00 00 00       	mov    $0x1,%esi
  401846:	48 8b 3d 73 5c 00 00 	mov    0x5c73(%rip),%rdi        # 4074c0 <stderr@@GLIBC_2.2.5>
  40184d:	e8 be fb ff ff       	callq  401410 <__fprintf_chk@plt>
  401852:	b8 01 00 00 00       	mov    $0x1,%eax
  401857:	e9 db 00 00 00       	jmpq   401937 <main+0x1be>
  40185c:	ba 10 00 00 00       	mov    $0x10,%edx
  401861:	be 00 00 00 00       	mov    $0x0,%esi
  401866:	48 8b 3d 3b 5c 00 00 	mov    0x5c3b(%rip),%rdi        # 4074a8 <optarg@@GLIBC_2.2.5>
  40186d:	e8 5e fb ff ff       	callq  4013d0 <strtoul@plt>
  401872:	41 89 c6             	mov    %eax,%r14d
  401875:	4c 89 e2             	mov    %r12,%rdx
  401878:	48 89 de             	mov    %rbx,%rsi
  40187b:	89 ef                	mov    %ebp,%edi
  40187d:	e8 3e fb ff ff       	callq  4013c0 <getopt@plt>
  401882:	3c ff                	cmp    $0xff,%al
  401884:	74 65                	je     4018eb <main+0x172>
  401886:	0f be c8             	movsbl %al,%ecx
  401889:	83 e8 61             	sub    $0x61,%eax
  40188c:	3c 10                	cmp    $0x10,%al
  40188e:	77 3b                	ja     4018cb <main+0x152>
  401890:	0f b6 c0             	movzbl %al,%eax
  401893:	48 8d 15 d6 29 00 00 	lea    0x29d6(%rip),%rdx        # 404270 <_IO_stdin_used+0x270>
  40189a:	48 63 04 82          	movslq (%rdx,%rax,4),%rax
  40189e:	48 01 d0             	add    %rdx,%rax
  4018a1:	3e ff e0             	notrack jmpq *%rax
  4018a4:	ba 0a 00 00 00       	mov    $0xa,%edx
  4018a9:	be 00 00 00 00       	mov    $0x0,%esi
  4018ae:	48 8b 3d f3 5b 00 00 	mov    0x5bf3(%rip),%rdi        # 4074a8 <optarg@@GLIBC_2.2.5>
  4018b5:	e8 86 fa ff ff       	callq  401340 <strtol@plt>
  4018ba:	41 89 c5             	mov    %eax,%r13d
  4018bd:	eb b6                	jmp    401875 <main+0xfc>
  4018bf:	c7 05 bf 5b 00 00 00 	movl   $0x0,0x5bbf(%rip)        # 407488 <notify>
  4018c6:	00 00 00 
  4018c9:	eb aa                	jmp    401875 <main+0xfc>
  4018cb:	89 ca                	mov    %ecx,%edx
  4018cd:	48 8d 35 7b 29 00 00 	lea    0x297b(%rip),%rsi        # 40424f <_IO_stdin_used+0x24f>
  4018d4:	bf 01 00 00 00       	mov    $0x1,%edi
  4018d9:	b8 00 00 00 00       	mov    $0x0,%eax
  4018de:	e8 bd fa ff ff       	callq  4013a0 <__printf_chk@plt>
  4018e3:	48 8b 3b             	mov    (%rbx),%rdi
  4018e6:	e8 4b fc ff ff       	callq  401536 <usage>
  4018eb:	be 00 00 00 00       	mov    $0x0,%esi
  4018f0:	44 89 ef             	mov    %r13d,%edi
  4018f3:	e8 dc fc ff ff       	callq  4015d4 <initialize_target>
  4018f8:	83 3d 09 5c 00 00 00 	cmpl   $0x0,0x5c09(%rip)        # 407508 <is_checker>
  4018ff:	74 09                	je     40190a <main+0x191>
  401901:	44 39 35 f8 5b 00 00 	cmp    %r14d,0x5bf8(%rip)        # 407500 <authkey>
  401908:	75 36                	jne    401940 <main+0x1c7>
  40190a:	8b 15 f4 5b 00 00    	mov    0x5bf4(%rip),%edx        # 407504 <cookie>
  401910:	48 8d 35 4b 29 00 00 	lea    0x294b(%rip),%rsi        # 404262 <_IO_stdin_used+0x262>
  401917:	bf 01 00 00 00       	mov    $0x1,%edi
  40191c:	b8 00 00 00 00       	mov    $0x0,%eax
  401921:	e8 7a fa ff ff       	callq  4013a0 <__printf_chk@plt>
  401926:	48 8b 3d 53 5b 00 00 	mov    0x5b53(%rip),%rdi        # 407480 <buf_offset>
  40192d:	e8 13 0e 00 00       	callq  402745 <stable_launch>
  401932:	b8 00 00 00 00       	mov    $0x0,%eax
  401937:	5b                   	pop    %rbx
  401938:	5d                   	pop    %rbp
  401939:	41 5c                	pop    %r12
  40193b:	41 5d                	pop    %r13
  40193d:	41 5e                	pop    %r14
  40193f:	c3                   	retq   
  401940:	44 89 f2             	mov    %r14d,%edx
  401943:	48 8d 35 3e 28 00 00 	lea    0x283e(%rip),%rsi        # 404188 <_IO_stdin_used+0x188>
  40194a:	bf 01 00 00 00       	mov    $0x1,%edi
  40194f:	b8 00 00 00 00       	mov    $0x0,%eax
  401954:	e8 47 fa ff ff       	callq  4013a0 <__printf_chk@plt>
  401959:	b8 00 00 00 00       	mov    $0x0,%eax
  40195e:	e8 f9 07 00 00       	callq  40215c <check_fail>
  401963:	eb a5                	jmp    40190a <main+0x191>

0000000000401965 <scramble>:
  401965:	48 83 ec 38          	sub    $0x38,%rsp
  401969:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
  401970:	00 00 
  401972:	48 89 44 24 28       	mov    %rax,0x28(%rsp)
  401977:	31 c0                	xor    %eax,%eax
  401979:	83 f8 09             	cmp    $0x9,%eax
  40197c:	77 12                	ja     401990 <scramble+0x2b>
  40197e:	69 d0 a0 3a 00 00    	imul   $0x3aa0,%eax,%edx
  401984:	01 fa                	add    %edi,%edx
  401986:	89 c1                	mov    %eax,%ecx
  401988:	89 14 8c             	mov    %edx,(%rsp,%rcx,4)
  40198b:	83 c0 01             	add    $0x1,%eax
  40198e:	eb e9                	jmp    401979 <scramble+0x14>
  401990:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401994:	69 c0 c5 23 00 00    	imul   $0x23c5,%eax,%eax
  40199a:	89 44 24 14          	mov    %eax,0x14(%rsp)
  40199e:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  4019a2:	69 c0 80 41 00 00    	imul   $0x4180,%eax,%eax
  4019a8:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  4019ac:	8b 44 24 08          	mov    0x8(%rsp),%eax
  4019b0:	69 c0 84 65 00 00    	imul   $0x6584,%eax,%eax
  4019b6:	89 44 24 08          	mov    %eax,0x8(%rsp)
  4019ba:	8b 44 24 08          	mov    0x8(%rsp),%eax
  4019be:	69 c0 bd a5 00 00    	imul   $0xa5bd,%eax,%eax
  4019c4:	89 44 24 08          	mov    %eax,0x8(%rsp)
  4019c8:	8b 44 24 18          	mov    0x18(%rsp),%eax
  4019cc:	69 c0 0d 58 00 00    	imul   $0x580d,%eax,%eax
  4019d2:	89 44 24 18          	mov    %eax,0x18(%rsp)
  4019d6:	8b 04 24             	mov    (%rsp),%eax
  4019d9:	69 c0 03 58 00 00    	imul   $0x5803,%eax,%eax
  4019df:	89 04 24             	mov    %eax,(%rsp)
  4019e2:	8b 44 24 14          	mov    0x14(%rsp),%eax
  4019e6:	69 c0 6f 76 00 00    	imul   $0x766f,%eax,%eax
  4019ec:	89 44 24 14          	mov    %eax,0x14(%rsp)
  4019f0:	8b 44 24 04          	mov    0x4(%rsp),%eax
  4019f4:	69 c0 5e e0 00 00    	imul   $0xe05e,%eax,%eax
  4019fa:	89 44 24 04          	mov    %eax,0x4(%rsp)
  4019fe:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401a02:	69 c0 88 84 00 00    	imul   $0x8488,%eax,%eax
  401a08:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401a0c:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401a10:	69 c0 de 93 00 00    	imul   $0x93de,%eax,%eax
  401a16:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401a1a:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401a1e:	69 c0 22 05 00 00    	imul   $0x522,%eax,%eax
  401a24:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401a28:	8b 04 24             	mov    (%rsp),%eax
  401a2b:	69 c0 4c 0d 00 00    	imul   $0xd4c,%eax,%eax
  401a31:	89 04 24             	mov    %eax,(%rsp)
  401a34:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401a38:	69 c0 64 5b 00 00    	imul   $0x5b64,%eax,%eax
  401a3e:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401a42:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401a46:	69 c0 18 62 00 00    	imul   $0x6218,%eax,%eax
  401a4c:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401a50:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401a54:	69 c0 52 8b 00 00    	imul   $0x8b52,%eax,%eax
  401a5a:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401a5e:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401a62:	69 c0 e4 a2 00 00    	imul   $0xa2e4,%eax,%eax
  401a68:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401a6c:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401a70:	69 c0 0b 76 00 00    	imul   $0x760b,%eax,%eax
  401a76:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401a7a:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401a7e:	69 c0 1a 4f 00 00    	imul   $0x4f1a,%eax,%eax
  401a84:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401a88:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401a8c:	69 c0 0c 74 00 00    	imul   $0x740c,%eax,%eax
  401a92:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401a96:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401a9a:	69 c0 9c fd 00 00    	imul   $0xfd9c,%eax,%eax
  401aa0:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401aa4:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401aa8:	69 c0 3d 4b 00 00    	imul   $0x4b3d,%eax,%eax
  401aae:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401ab2:	8b 04 24             	mov    (%rsp),%eax
  401ab5:	69 c0 c6 6f 00 00    	imul   $0x6fc6,%eax,%eax
  401abb:	89 04 24             	mov    %eax,(%rsp)
  401abe:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401ac2:	69 c0 4c 52 00 00    	imul   $0x524c,%eax,%eax
  401ac8:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401acc:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401ad0:	69 c0 59 dd 00 00    	imul   $0xdd59,%eax,%eax
  401ad6:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401ada:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401ade:	69 c0 0c 5e 00 00    	imul   $0x5e0c,%eax,%eax
  401ae4:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401ae8:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401aec:	69 c0 d8 86 00 00    	imul   $0x86d8,%eax,%eax
  401af2:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401af6:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401afa:	69 c0 94 ab 00 00    	imul   $0xab94,%eax,%eax
  401b00:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401b04:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401b08:	69 c0 37 09 00 00    	imul   $0x937,%eax,%eax
  401b0e:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401b12:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401b16:	69 c0 23 0e 00 00    	imul   $0xe23,%eax,%eax
  401b1c:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401b20:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401b24:	69 c0 3c 6f 00 00    	imul   $0x6f3c,%eax,%eax
  401b2a:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401b2e:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401b32:	69 c0 a1 a6 00 00    	imul   $0xa6a1,%eax,%eax
  401b38:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401b3c:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401b40:	69 c0 8c 48 00 00    	imul   $0x488c,%eax,%eax
  401b46:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401b4a:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401b4e:	69 c0 84 f6 00 00    	imul   $0xf684,%eax,%eax
  401b54:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401b58:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401b5c:	69 c0 3c f8 00 00    	imul   $0xf83c,%eax,%eax
  401b62:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401b66:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401b6a:	69 c0 7d 8c 00 00    	imul   $0x8c7d,%eax,%eax
  401b70:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401b74:	8b 04 24             	mov    (%rsp),%eax
  401b77:	69 c0 aa 36 00 00    	imul   $0x36aa,%eax,%eax
  401b7d:	89 04 24             	mov    %eax,(%rsp)
  401b80:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401b84:	69 c0 77 4b 00 00    	imul   $0x4b77,%eax,%eax
  401b8a:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401b8e:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401b92:	69 c0 67 99 00 00    	imul   $0x9967,%eax,%eax
  401b98:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401b9c:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401ba0:	69 c0 95 f6 00 00    	imul   $0xf695,%eax,%eax
  401ba6:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401baa:	8b 04 24             	mov    (%rsp),%eax
  401bad:	69 c0 97 74 00 00    	imul   $0x7497,%eax,%eax
  401bb3:	89 04 24             	mov    %eax,(%rsp)
  401bb6:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401bba:	69 c0 f8 e7 00 00    	imul   $0xe7f8,%eax,%eax
  401bc0:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401bc4:	8b 04 24             	mov    (%rsp),%eax
  401bc7:	69 c0 d0 b7 00 00    	imul   $0xb7d0,%eax,%eax
  401bcd:	89 04 24             	mov    %eax,(%rsp)
  401bd0:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401bd4:	69 c0 94 8f 00 00    	imul   $0x8f94,%eax,%eax
  401bda:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401bde:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401be2:	69 c0 85 9a 00 00    	imul   $0x9a85,%eax,%eax
  401be8:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401bec:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401bf0:	69 c0 57 2c 00 00    	imul   $0x2c57,%eax,%eax
  401bf6:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401bfa:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401bfe:	69 c0 2d 37 00 00    	imul   $0x372d,%eax,%eax
  401c04:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401c08:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401c0c:	69 c0 e1 1b 00 00    	imul   $0x1be1,%eax,%eax
  401c12:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401c16:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401c1a:	69 c0 a5 ef 00 00    	imul   $0xefa5,%eax,%eax
  401c20:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401c24:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401c28:	69 c0 60 17 00 00    	imul   $0x1760,%eax,%eax
  401c2e:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401c32:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401c36:	69 c0 f5 7c 00 00    	imul   $0x7cf5,%eax,%eax
  401c3c:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401c40:	8b 04 24             	mov    (%rsp),%eax
  401c43:	69 c0 ba dd 00 00    	imul   $0xddba,%eax,%eax
  401c49:	89 04 24             	mov    %eax,(%rsp)
  401c4c:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401c50:	69 c0 98 7b 00 00    	imul   $0x7b98,%eax,%eax
  401c56:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401c5a:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401c5e:	69 c0 11 5a 00 00    	imul   $0x5a11,%eax,%eax
  401c64:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401c68:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401c6c:	69 c0 f5 c6 00 00    	imul   $0xc6f5,%eax,%eax
  401c72:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401c76:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401c7a:	69 c0 bf 8b 00 00    	imul   $0x8bbf,%eax,%eax
  401c80:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401c84:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401c88:	69 c0 48 a5 00 00    	imul   $0xa548,%eax,%eax
  401c8e:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401c92:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401c96:	69 c0 fc 36 00 00    	imul   $0x36fc,%eax,%eax
  401c9c:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401ca0:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401ca4:	69 c0 44 07 00 00    	imul   $0x744,%eax,%eax
  401caa:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401cae:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401cb2:	69 c0 20 1e 00 00    	imul   $0x1e20,%eax,%eax
  401cb8:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401cbc:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401cc0:	69 c0 48 64 00 00    	imul   $0x6448,%eax,%eax
  401cc6:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401cca:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401cce:	69 c0 8a ab 00 00    	imul   $0xab8a,%eax,%eax
  401cd4:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401cd8:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401cdc:	69 c0 70 1d 00 00    	imul   $0x1d70,%eax,%eax
  401ce2:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401ce6:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401cea:	69 c0 2e 1b 00 00    	imul   $0x1b2e,%eax,%eax
  401cf0:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401cf4:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401cf8:	69 c0 d0 d9 00 00    	imul   $0xd9d0,%eax,%eax
  401cfe:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401d02:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401d06:	69 c0 f7 f4 00 00    	imul   $0xf4f7,%eax,%eax
  401d0c:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401d10:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401d14:	69 c0 6c d6 00 00    	imul   $0xd66c,%eax,%eax
  401d1a:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401d1e:	8b 04 24             	mov    (%rsp),%eax
  401d21:	69 c0 65 0a 00 00    	imul   $0xa65,%eax,%eax
  401d27:	89 04 24             	mov    %eax,(%rsp)
  401d2a:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401d2e:	69 c0 e4 fb 00 00    	imul   $0xfbe4,%eax,%eax
  401d34:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401d38:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401d3c:	69 c0 03 67 00 00    	imul   $0x6703,%eax,%eax
  401d42:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401d46:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401d4a:	69 c0 1d b5 00 00    	imul   $0xb51d,%eax,%eax
  401d50:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401d54:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401d58:	69 c0 66 fe 00 00    	imul   $0xfe66,%eax,%eax
  401d5e:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401d62:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401d66:	69 c0 7a 66 00 00    	imul   $0x667a,%eax,%eax
  401d6c:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401d70:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401d74:	69 c0 7e b7 00 00    	imul   $0xb77e,%eax,%eax
  401d7a:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401d7e:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401d82:	69 c0 f3 fb 00 00    	imul   $0xfbf3,%eax,%eax
  401d88:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401d8c:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401d90:	69 c0 87 0f 00 00    	imul   $0xf87,%eax,%eax
  401d96:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401d9a:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401d9e:	69 c0 16 20 00 00    	imul   $0x2016,%eax,%eax
  401da4:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401da8:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401dac:	69 c0 b0 fb 00 00    	imul   $0xfbb0,%eax,%eax
  401db2:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401db6:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401dba:	69 c0 7c 82 00 00    	imul   $0x827c,%eax,%eax
  401dc0:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401dc4:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401dc8:	69 c0 9c 4a 00 00    	imul   $0x4a9c,%eax,%eax
  401dce:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401dd2:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
